match_id,round,timestamp_s,exchange_id,fighter_id,opponent_id,fighter_state,opponent_state,winner,f1_points,f2_points,technique,body_target,penalty,notes
MATCH_20230700_M2,1,7.0,1,CJ,SAME_OPP,Attack,Defend,None,0,0,,,,Early clash jump or spinning kick attempt blocked or missed [boundary confidence: Low] [opponent identity confirmed by fighter as same person as MATCH_20260613_M1's opponent; not confirmable from footage alone] (source exchange_id: 1)
MATCH_20230700_M2,1,19.0,2,CJ,SAME_OPP,Disengage,Disengage,None,0,0,,,,Mutual reset after Exchange 1 [boundary confidence: Medium] [opponent identity confirmed by fighter as same person as MATCH_20260613_M1's opponent; not confirmable from footage alone] (source exchange_id: 2)
MATCH_20230700_M2,1,24.0,3,CJ,SAME_OPP,Feint,Defend,None,0,0,,,,Brief chamber or setup step before committed 2-point technique flagged as Feint [boundary confidence: Low] [opponent identity confirmed by fighter as same person as MATCH_20260613_M1's opponent; not confirmable from footage alone] (source exchange_id: 3a)
MATCH_20230700_M2,1,26.0,4,CJ,SAME_OPP,Attack,Defend,F1,2,0,,,,Drive in opponent goes down consistent with head height or turning kick two point value [boundary confidence: Medium] [opponent identity confirmed by fighter as same person as MATCH_20260613_M1's opponent; not confirmable from footage alone] (source exchange_id: 3b)
MATCH_20230700_M2,1,34.0,5,CJ,SAME_OPP,Disengage,Disengage,None,0,0,,,,Reset after score confirmation [boundary confidence: Medium] [opponent identity confirmed by fighter as same person as MATCH_20260613_M1's opponent; not confirmable from footage alone] (source exchange_id: 4)
MATCH_20230700_M2,1,39.0,6,CJ,SAME_OPP,Defend,Attack,F2,0,1,,,,Opponent technique lands I go down [boundary confidence: Medium] [opponent identity confirmed by fighter as same person as MATCH_20260613_M1's opponent; not confirmable from footage alone] (source exchange_id: 5)
MATCH_20230700_M2,1,44.0,7,CJ,SAME_OPP,Disengage,Disengage,None,0,0,,,,Reset to ready stance [boundary confidence: Medium] [opponent identity confirmed by fighter as same person as MATCH_20260613_M1's opponent; not confirmable from footage alone] (source exchange_id: 6)
MATCH_20230700_M2,1,48.0,8,CJ,SAME_OPP,Defend,Attack,F2,0,1,,,,Extended engagement opponent scores long window flag for denser resampling if needed [boundary confidence: Low] [opponent identity confirmed by fighter as same person as MATCH_20260613_M1's opponent; not confirmable from footage alone] (source exchange_id: 7)
MATCH_20230700_M2,1,65.0,9,CJ,SAME_OPP,Disengage,Disengage,None,0,0,,,,Brief reset [boundary confidence: Medium] [opponent identity confirmed by fighter as same person as MATCH_20260613_M1's opponent; not confirmable from footage alone] (source exchange_id: 8)
MATCH_20230700_M2,1,68.0,10,CJ,SAME_OPP,Attack,Defend,None,0,0,,,,Contested exchange no score confirmed inserted as real tactical data [boundary confidence: Low] [opponent identity confirmed by fighter as same person as MATCH_20260613_M1's opponent; not confirmable from footage alone] (source exchange_id: 9)
MATCH_20230700_M2,1,77.0,11,CJ,SAME_OPP,Disengage,Disengage,None,0,0,,,,Brief reset between clashes [boundary confidence: Medium] [opponent identity confirmed by fighter as same person as MATCH_20260613_M1's opponent; not confirmable from footage alone] (source exchange_id: 10)
MATCH_20230700_M2,1,80.0,12,CJ,SAME_OPP,Feint,Attack,None,0,0,,,,"Low confidence Feint -- retreating guarded shuffle rather than firm block, genuinely uncertain call, keep as Feint [boundary confidence: Low] [opponent identity confirmed by fighter as same person as MATCH_20260613_M1's opponent; not confirmable from footage alone] (source exchange_id: 11)"
MATCH_20230700_M2,1,92.0,13,CJ,SAME_OPP,Disengage,Disengage,None,0,0,,,,Reset before excluded timeout [boundary confidence: Medium] [opponent identity confirmed by fighter as same person as MATCH_20260613_M1's opponent; not confirmable from footage alone] (source exchange_id: 12)
MATCH_20230700_M2,1,111.0,14,CJ,SAME_OPP,Attack,Defend,F1,1,0,,,,First exchange after timeout resumes I press forward and land referee confirms [boundary confidence: Medium] [opponent identity confirmed by fighter as same person as MATCH_20260613_M1's opponent; not confirmable from footage alone] (source exchange_id: 13)
MATCH_20230700_M2,1,123.0,15,CJ,SAME_OPP,Disengage,Disengage,None,0,0,,,,Reset to ready stance [boundary confidence: Medium] [opponent identity confirmed by fighter as same person as MATCH_20260613_M1's opponent; not confirmable from footage alone] (source exchange_id: 14)
MATCH_20230700_M2,1,128.0,16,CJ,SAME_OPP,Defend,Attack,F2,0,1,,,,Opponent technique lands referee confirms [boundary confidence: Medium] [opponent identity confirmed by fighter as same person as MATCH_20260613_M1's opponent; not confirmable from footage alone] (source exchange_id: 15)
MATCH_20230700_M2,1,143.0,17,CJ,SAME_OPP,Disengage,Disengage,None,0,0,,,,Reset [boundary confidence: Medium] [opponent identity confirmed by fighter as same person as MATCH_20260613_M1's opponent; not confirmable from footage alone] (source exchange_id: 16)
MATCH_20230700_M2,1,150.0,18,CJ,SAME_OPP,Attack,Defend,None,0,0,,,,Contested unscored exchange long window [boundary confidence: Low] [opponent identity confirmed by fighter as same person as MATCH_20260613_M1's opponent; not confirmable from footage alone] (source exchange_id: 17)
MATCH_20230700_M2,1,167.0,19,CJ,SAME_OPP,Disengage,Disengage,None,0,0,,,,Reset before final exchange [boundary confidence: Medium] [opponent identity confirmed by fighter as same person as MATCH_20260613_M1's opponent; not confirmable from footage alone] (source exchange_id: 18)
MATCH_20230700_M2,1,172.0,20,CJ,SAME_OPP,Attack,Defend,F1,1,0,,,,Final scoring exchange match ends fighters bow and shake hands after [boundary confidence: Medium] [opponent identity confirmed by fighter as same person as MATCH_20260613_M1's opponent; not confirmable from footage alone] (source exchange_id: 19)
